,startid,startname,startyear,startcount,startlatitude,startlongitude,zipcode
152,137,E 56 St & Madison Ave,2015,12237,40.761628,-73.972924,10022
153,224,Spruce St & Nassau St,2015,11342,40.71146364,-74.00552427,10007
154,322,Clinton St & Tillary St,2015,5721,40.696192,-73.991218,11201
155,500,Broadway & W 51 St,2015,20150,40.76228826,-73.98336183,10020
156,2002,Wythe Ave & Metropolitan Ave,2015,11913,40.716887,-73.963198,11211
157,289,Monroe St & Classon Ave,2015,1496,40.6845683,-73.95881081,11238
158,477,W 41 St & 8 Ave,2015,39430,40.75640548,-73.9900262,10018
159,259,South St & Whitehall St,2015,13002,40.70122128,-74.01234218,10004
160,390,Duffield St & Willoughby St,2015,4545,40.69221589,-73.9842844,11201
161,3091,Frost St & Meeker St,2015,206,40.71764,-73.94882,11211
162,493,W 45 St & 6 Ave,2015,13934,40.7568001,-73.98291153,10112
163,3117,Franklin St & Dupont St,2015,387,40.73564,-73.95866,11109
164,241,DeKalb Ave & S Portland Ave,2015,4783,40.68981035,-73.97493121,11217
165,436,Hancock St & Bedford Ave,2015,1722,40.68216564,-73.95399026,11216
166,460,S 4 St & Wythe Ave,2015,5783,40.71285887,-73.96590294,11211
167,468,Broadway & W 55 St,2015,19825,40.7652654,-73.98192338,10020
168,328,Watts St & Greenwich St,2015,16752,40.72405549,-74.00965965,10013
169,465,Broadway & W 41 St,2015,23784,40.75513557,-73.98658032,10018
170,367,E 53 St & Lexington Ave,2015,11278,40.75828065,-73.97069431,10022
171,2023,E 55 St & Lexington Ave,2015,9800,40.75968085,-73.97031366,10022
172,520,W 52 St & 5 Ave,2015,13970,40.75992262,-73.97648516,10111
173,3196,Riverview Park,2015,479,40.7443187,-74.0439909,07307
174,538,E 48 St & Madison Ave,2015,12362,40.75666,-73.976684,10167
175,400,Pitt St & Stanton St,2015,4174,40.71926081,-73.98178024,10002
176,267,Broadway & W 36 St,2015,13584,40.75097711,-73.98765428,10119
177,505,6 Ave & W 33 St,2015,27799,40.74901271,-73.98848395,10119
178,408,Market St & Cherry St,2015,7196,40.71076228,-73.99400398,10103
179,314,Cadman Plaza West & Montague St,2015,8040,40.69383,-73.990539,11201
180,306,Cliff St & Fulton St,2015,12922,40.70823502,-74.00530063,10038
181,332,Cherry St,2015,9057,40.71219906,-73.97948148,10002
182,457,Broadway & W 58 St,2015,27784,40.76695317,-73.98169333,10020
183,534,Water - Whitehall Plaza,2015,8935,40.70255065,-74.0127234,10004
184,454,E 51 St & 1 Ave,2015,8933,40.75455731,-73.96592976,10017
185,393,E 5 St & Avenue C,2015,10917,40.72299208,-73.97995466,10009
186,2008,Little West St & 1 Pl,2015,18117,40.70569254,-74.01677685,10280
187,469,Broadway & W 53 St,2015,13009,40.76344058,-73.98268129,10020
188,3209,Brunswick St,2016,9574,40.7241765,-74.0506564,07302
189,119,Park Ave & St Edwards St,2015,1091,40.69608941,-73.97803415,11201
190,341,Stanton St & Mangin St,2015,8403,40.71782143,-73.97628939,10002
191,545,E 23 St & 1 Ave,2015,24352,40.736502,-73.97809472,10010
192,238,Bank St & Washington St,2015,14685,40.7361967,-74.00859207,10014
193,385,E 55 St & 2 Ave,2015,9803,40.75797322,-73.96603308,10022
194,411,E 6 St & Avenue D,2015,9157,40.72228087,-73.97668709,10009
195,490,8 Ave & W 33 St,2015,40680,40.751551,-73.993934,10119
196,441,E 52 St & 2 Ave,2015,11010,40.756014,-73.967416,10022
197,300,Shevchenko Pl & E 7 St,2015,18146,40.728145,-73.990214,10003
198,415,Pearl St & Hanover Square,2015,11980,40.7047177,-74.00926027,10004
199,435,W 21 St & 6 Ave,2015,51749,40.74173969,-73.99415556,10119
200,353,S Portland Ave & Hanson Pl,2015,3678,40.68539567,-73.97431458,11217
201,218,Gallatin Pl & Livingston St,2015,2516,40.69028437,-73.98707105,11201
202,344,Monroe St & Bedford Ave,2015,3260,40.6851443,-73.95380904,11216
203,437,Macon St & Nostrand Ave,2015,928,40.68098339,-73.95004798,11216
204,279,Peck Slip & Front St,2015,16655,40.707873,-74.00167,10038
205,391,Clark St & Henry St,2015,9535,40.69760127,-73.99344559,11201
206,410,Suffolk St & Stanton St,2015,21206,40.72066442,-73.98517977,10002
207,298,3 Ave & Schermerhorn St,2015,2786,40.68683208,-73.9796772,11217
208,3076,Scholes St & Manhattan Ave,2015,133,40.70870368,-73.9448625,11206
209,519,Pershing Square North,2015,59300,40.751873,-73.977706,10168
210,303,Mercer St & Spring St,2015,15598,40.72362738,-73.99949601,10012
211,532,S 5 Pl & S 4 St,2015,16171,40.710451,-73.960876,11211
212,365,Fulton St & Grand Ave,2015,4773,40.68223166,-73.9614583,11238
213,354,Emerson Pl & Myrtle Ave,2015,3524,40.69363137,-73.96223558,11205
214,167,E 39 St & 3 Ave,2015,19683,40.7489006,-73.97604882,10168
215,294,Washington Square E,2015,22313,40.73049393,-73.9957214,10012
216,3222,Hanson Pl & St Felix St,2015,192,40.685159599891776,-73.97711366415024,11217
217,260,Broad St & Bridge St,2015,7085,40.70365182,-74.01167797,10004
218,463,9 Ave & W 16 St,2015,27258,40.74206539,-74.00443172,10011
219,375,Mercer St & Bleecker St,2015,28224,40.72679454,-73.99695094,10012
220,3189,West Side Light Rail,2017,323,40.714402,-74.0887723,07304
221,444,Broadway & W 24 St,2015,36892,40.7423543,-73.98915076,10010
222,3271,Danforth Light Rail,2016,60,40.69263996618329,-74.08801227807997,07305
223,511,E 14 St & Avenue B,2015,28832,40.72938685,-73.97772429,10009
224,407,Henry St & Poplar St,2015,2874,40.700469,-73.991454,11201
225,3198,Heights Elevator,2017,1945,40.748715945380226,-74.04044330120087,07307
226,257,Lispenard St & Broadway,2015,16136,40.71939226,-74.00247214,10278
227,324,DeKalb Ave & Hudson Ave,2015,7576,40.689888,-73.981013,11217
228,462,W 22 St & 10 Ave,2015,30898,40.74691959,-74.00451887,10011
229,487,E 20 St & FDR Drive,2015,17683,40.73314259,-73.97573881,10009
230,515,W 43 St & 10 Ave,2015,22319,40.76009437,-73.99461843,10036
231,265,Stanton St & Chrystie St,2015,17636,40.72229346,-73.99147535,10012
232,396,Lefferts Pl & Franklin Ave,2015,998,40.68034242,-73.95576894,11216
233,264,Maiden Ln & Pearl St,2015,11767,40.70706456,-74.00731853,10038
234,295,Pike St & E Broadway,2015,12481,40.71406667,-73.99293911,10103
235,445,E 10 St & Avenue A,2015,28908,40.72740794,-73.98142006,10009
236,3113,Greenpoint Ave & Manhattan Ave,2015,492,40.73026,-73.95394,11222
237,502,Henry St & Grand St,2015,9547,40.714215,-73.981346,10002
238,233,Joralemon St & Adams St,2015,1448,40.69246277,-73.98963911,11201
239,308,St James Pl & Oliver St,2015,9792,40.71307916,-73.99851193,10278
240,537,Lexington Ave & E 24 St,2015,35277,40.74025878,-73.98409214,10010
241,461,E 20 St & 2 Ave,2015,25298,40.73587678,-73.98205027,10010
242,3044,Albany Ave & Fulton St,2015,27,40.6800105,-73.938475,11213
243,448,W 37 St & 10 Ave,2015,20399,40.75660359,-73.9979009,10001
244,304,Broadway & Battery Pl,2015,17408,40.70463334,-74.01361706,10004
245,318,E 43 St & Vanderbilt Ave,2015,30047,40.75320159,-73.9779874,10165
246,404,9 Ave & W 14 St,2015,25199,40.7405826,-74.00550867,10014
247,323,Lawrence St & Willoughby St,2015,7957,40.69236178,-73.98631746,11201
248,401,Allen St & Rivington St,2015,23632,40.72019576,-73.98997825,10002
249,529,W 42 St & 8 Ave,2015,38900,40.7575699,-73.99098507,10018
250,251,Mott St & Prince St,2015,23398,40.72317958,-73.99480012,10012
251,174,E 25 St & 1 Ave,2015,16664,40.7381765,-73.97738662,10010
252,503,E 20 St & Park Ave,2015,24598,40.73827428,-73.98751968,10010
253,416,Cumberland St & Lafayette Ave,2015,4840,40.68753406,-73.97265183,11217
254,266,Avenue D & E 8 St,2015,6310,40.72368361,-73.97574813,10009
255,464,E 56 St & 3 Ave,2015,9156,40.75934501,-73.96759673,10022
256,347,Greenwich St & W Houston St,2015,9587,40.728846,-74.008591,10013
257,281,Grand Army Plaza & Central Park S,2015,33217,40.7643971,-73.97371465,10022
258,127,Barrow St & Hudson St,2015,36073,40.73172428,-74.00674436,10014
259,531,Forsyth St & Broome St,2015,21502,40.71893904,-73.99266288,10012
260,348,W Broadway & Spring St,2015,24718,40.72490985,-74.00154702,10012
261,335,Washington Pl & Broadway,2015,20139,40.72903917,-73.99404649,10012
262,3206,Hilltop,2016,2592,40.7311689,-74.0575736,07306
263,2021,W 45 St & 8 Ave,2015,19386,40.75929124,-73.98859651,10036
264,362,Broadway & W 37 St,2015,11870,40.75172632,-73.98753523,10119
265,418,Front St & Gold St,2015,3568,40.70224,-73.982578,11201
266,284,Greenwich Ave & 8 Ave,2015,13192,40.73901691,-74.00263761,10014
267,406,Hicks St & Montague St,2015,6325,40.69512845,-73.99595065,11201
268,518,E 39 St & 2 Ave,2015,28060,40.74780373,-73.9734419,10174
269,480,W 53 St & 10 Ave,2015,15059,40.76669671,-73.99061728,10019
270,3213,Van Vorst Park,2015,2507,40.71848892,-74.047726625,07302
271,364,Lafayette Ave & Classon Ave,2015,3452,40.68900443,-73.96023854,11205
272,489,10 Ave & W 28 St,2015,23521,40.75066386,-74.00176802,10001
273,495,W 47 St & 10 Ave,2015,18053,40.76269882,-73.99301222,10036
274,326,E 11 St & 1 Ave,2015,20860,40.72953837,-73.98426726,10003
275,282,Kent Ave & S 11 St,2015,4958,40.70827295,-73.96834101,11211
276,386,Centre St & Worth St,2015,13938,40.71494807,-74.00234482,10278
277,422,W 59 St & 10 Ave,2015,12862,40.770513,-73.988038,10019
278,244,Willoughby Ave & Hall St,2015,4402,40.69196035,-73.96536851,11205
279,3002,South End Ave & Liberty St,2015,26370,40.711512,-74.015756,10006
280,316,Fulton St & William St,2015,12773,40.70955958,-74.00653609,10038
281,412,Forsyth St & Canal St,2015,14435,40.7158155,-73.99422366,10103
282,217,Old Fulton St,2015,12613,40.70277159,-73.99383605,11201
283,317,E 6 St & Avenue B,2015,15898,40.72453734,-73.98185424,10009
284,3273,Manila & 1st,2017,5074,40.721650724879986,-74.04288411140442,07302
285,3205,JC Medical Center,2015,1272,40.71653978099194,-74.0496379137039,07302
286,517,Pershing Square South,2015,30340,40.751581,-73.97791,10168
287,498,Broadway & W 32 St,2015,22598,40.74854862,-73.98808416,10119
288,325,E 19 St & 3 Ave,2015,17085,40.73624527,-73.98473765,10010
289,82,St James Pl & Pearl St,2015,6133,40.71117416,-74.00016545,10038
290,523,W 38 St & 8 Ave,2015,31270,40.75466591,-73.99138152,10018
291,331,Pike St & Monroe St,2015,7378,40.71173107,-73.99193043,10103
292,236,St Marks Pl & 2 Ave,2015,26867,40.7284186,-73.98713956,10003
293,291,Madison St & Montgomery St,2015,6995,40.713126,-73.984844,10002
294,144,Nassau St & Navy St,2015,2980,40.69839895,-73.98068914,11201
295,419,Carlton Ave & Park Ave,2015,2828,40.69580705,-73.97355569,11201
296,524,W 43 St & 6 Ave,2015,11535,40.75527307,-73.98316936,10173
297,546,E 30 St & Park Ave S,2015,26619,40.74444921,-73.98303529,10016
298,392,Jay St & Tech Pl,2015,7429,40.695065,-73.987167,11201
299,432,E 7 St & Avenue A,2015,31773,40.72621788,-73.98379855,10009
300,329,Greenwich St & N Moore St,2015,22309,40.72043411,-74.01020609,10013
301,302,Avenue D & E 3 St,2015,8752,40.72082834,-73.97793172,10009
302,320,Leonard St & Church St,2015,11343,40.717571,-74.005549,10278
303,312,Allen St & E Houston St,2015,23021,40.722055,-73.989111,10012
304,491,E 24 St & Park Ave S,2015,24900,40.74096374,-73.98602213,10010
305,254,W 11 St & 6 Ave,2015,13363,40.73532427,-73.99800419,10003
306,478,11 Ave & W 41 St,2015,21640,40.76030096,-73.99884222,10036
307,473,Rivington St & Chrystie St,2015,13230,40.72110063,-73.9919254,10012
308,366,Clinton Ave & Myrtle Ave,2015,8231,40.693261,-73.968896,11205
309,168,W 18 St & 6 Ave,2015,28869,40.73971301,-73.99456405,10003
310,358,Christopher St & Greenwich St,2015,37741,40.73291553,-74.00711384,10014
311,350,Clinton St & Grand St,2015,11931,40.71559509,-73.9870295,10002
312,2004,6 Ave & Broome St,2015,15357,40.724399,-74.004704,10013
313,307,Canal St & Rutgers St,2015,21352,40.71427487,-73.98990025,10002
314,372,Franklin Ave & Myrtle Ave,2015,1604,40.694528,-73.958089,11205
315,394,E 9 St & Avenue C,2015,16942,40.72521311,-73.97768752,10009
316,384,Fulton St & Waverly Ave,2015,454,40.68317813,-73.9659641,11238
